Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
424,39.6904,-106.9495767,2193.3,,,,,,,,,
425,39.690425,-106.9494767,2193.8,,,,,,,,,
426,39.69046833,-106.9493983,2194.8,,,,,,,,,
427,39.69051167,-106.9492933,2195.6,,,,,,,,,
428,39.69054333,-106.9491733,2196.8,,,,,,,,,
429,39.69056667,-106.9490583,2197.6,,,,,,,,,
430,39.69064333,-106.9489933,2198.7,,,,,,,,,
431,39.690725,-106.9489117,2202.1,,,,,,,,,
432,39.69076667,-106.948815,2203.3,,,,,,,,,
433,39.69087,-106.9487483,2203.7,,,,,,,,,
434,39.690975,-106.9488067,2202.9,,,,,,,,,
435,39.69105833,-106.9488883,2202.1,,,,,,,,,
436,39.69115667,-106.94899,2200,,,,,,,,,
437,39.69125,-106.9491167,2198.6,,,,,,,,,
438,39.69132833,-106.949265,2198.2,,,,,,,,,
439,39.69140167,-106.9494017,2199.4,,,,,,,,,
440,39.691465,-106.94954,2199.9,,,,,,,,,
441,39.69152,-106.94968,2199.7,,,,,,,,,
442,39.69158667,-106.9498133,2198.2,,,,,,,,,
443,39.69164833,-106.9499483,2196.8,,,,,,,,,
444,39.69170333,-106.9500767,2196.3,,,,,,,,,
445,39.69175,-106.9502167,2197,,,,,,,,,
446,39.691785,-106.9503533,2198.3,,,,,,,,,
447,39.69183,-106.9505067,2199.4,,,,,,,,,
448,39.69187333,-106.950635,2199.5,,,,,,,,,
449,39.69191667,-106.9507583,2199.1,,,,,,,,,
450,39.69196667,-106.9509083,2198.5,,,,,,,,,
451,39.692015,-106.9510517,2198.5,,,,,,,,,
452,39.69204333,-106.9512033,2198.5,,,,,,,,,
453,39.69207333,-106.9513483,2198.3,,,,,,,,,
454,39.6921,-106.9515067,2197.3,,,,,,,,,
455,39.69212333,-106.9516683,2196.6,,,,,,,,,
456,39.69215167,-106.9518467,2196.4,,,,,,,,,
457,39.692185,-106.9519917,2196.5,,,,,,,,,
458,39.69222167,-106.952135,2196.3,,,,,,,,,
459,39.69225667,-106.9523133,2196.2,,,,,,,,,
460,39.69229333,-106.952455,2196.4,,,,,,,,,
461,39.69234167,-106.9525933,2196,,,,,,,,,
462,39.69238333,-106.952765,2195.7,,,,,,,,,
463,39.69243667,-106.9529067,2195.7,,,,,,,,,
464,39.69250833,-106.9530333,2195,,,,,,,,,
465,39.692585,-106.9531633,2193.7,,,,,,,,,
466,39.69267167,-106.953285,2192.3,,,,,,,,,
467,39.692755,-106.9533883,2190.8,,,,,,,,,
468,39.69285667,-106.9535067,2189.4,,,,,,,,,
469,39.692955,-106.95358,2188.6,,,,,,,,,
470,39.69303833,-106.9536067,2189.2,,,,,,,,,
471,39.69313167,-106.9536333,2190.1,,,,,,,,,
472,39.69322167,-106.9536483,2190.9,,,,,,,,,
473,39.69330667,-106.9536367,2192,,,,,,,,,
474,39.69338667,-106.95362,2192.8,,,,,,,,,
475,39.69348833,-106.9536067,2193.8,,,,,,,,,
476,39.69356833,-106.9535733,2194.3,,,,,,,,,
477,39.69363667,-106.9534983,2195.9,,,,,,,,,
478,39.69371,-106.95342,2197.3,,,,,,,,,
479,39.69375333,-106.953385,2197.6,,,,,,,,,
480,39.693785,-106.9533517,2197.8,,,,,,,,,
481,39.69384833,-106.9532833,2198.4,,,,,,,,,
